2020-12-22 21:59:31 INFO  BankService:775 - LOG: Account changed its status successfully
2020-12-22 22:12:06 INFO  BankService:313 -  LOG: New customer account has been created successfully
2020-12-22 22:12:43 INFO  BankService:339 -  LOG: Successful customer login into Database
2020-12-22 22:12:50 INFO  BankService:396 -  LOG: Customer Balance was accessed from Databse successfully
2020-12-22 22:18:14 INFO  BankService:339 -  LOG: Successful customer login into Database
2020-12-22 22:18:42 INFO  BankService:436 -  LOG: Customer Password Changed
2020-12-22 22:19:11 INFO  BankService:460 -  LOG: Deposit was done and saved into Database successfully
2020-12-22 22:19:25 INFO  BankService:396 -  LOG: Customer Balance was accessed from Databse successfully
2020-12-22 22:19:44 INFO  BankService:460 -  LOG: Deposit was done and saved into Database successfully
2020-12-22 22:19:54 INFO  BankService:494 -  LOG: Withdraw was done and saved into Database successfully
2020-12-22 22:20:11 INFO  BankService:547 -  LOG: Transfer was done and saved to Database successfully
2020-12-22 22:20:17 INFO  BankService:396 -  LOG: Customer Balance was accessed from Databse successfully
2020-12-22 22:20:31 INFO  BankService:339 -  LOG: Successful customer login into Database
2020-12-22 22:27:37 INFO  BankService:339 -  LOG: Successful customer login into Database
2020-12-22 22:27:44 INFO  BankService:396 -  LOG: Customer Balance was accessed from Databse successfully
2020-12-22 22:28:06 INFO  BankService:436 -  LOG: Customer Password Changed
2020-12-22 22:28:20 WARN  BankService:342 -  LOG: Wrong credentials for customer login
2020-12-22 22:28:39 INFO  BankService:339 -  LOG: Successful customer login into Database
2020-12-22 22:28:52 INFO  BankService:436 -  LOG: Customer Password Changed
2020-12-22 22:29:07 INFO  BankService:339 -  LOG: Successful customer login into Database
2020-12-22 22:29:33 INFO  BankService:460 -  LOG: Deposit was done and saved into Database successfully
2020-12-22 22:30:00 INFO  BankService:494 -  LOG: Withdraw was done and saved into Database successfully
2020-12-22 22:31:04 INFO  BankService:547 -  LOG: Transfer was done and saved to Database successfully
2020-12-22 22:31:10 INFO  BankService:396 -  LOG: Customer Balance was accessed from Databse successfully
2020-12-22 22:39:46 INFO  BankService:396 -  LOG: Customer Balance was accessed from Databse successfully
2020-12-22 22:40:29 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-22 22:40:47 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
